comparison,cohort,metric,cases,subjects,folds_averaged_before_subject_inference,estimand,mean_difference,bootstrap_ci_low,bootstrap_ci_high,permutation_p,wilcoxon_p_secondary,positive,negative,zero,bootstrap_repetitions,permutation_repetitions,seed,favorable_direction_for_d175
D175_minus_D129,external42_primary,foreground_dice,42,42,5,subject_equal_paired_mean_difference,-0.0003075714285714361,-0.000637024404761915,8.905357142853833e-06,0.07023092976907024,0.02495414577833799,14,28,0,100000,1000000,20260815,higher
D175_minus_D129,external42_primary,identification_rate,42,42,5,subject_equal_paired_mean_difference,0.005952357142857142,-0.0019841428571428575,0.013888833333333331,0.2171047828952171,0.21028221384617396,8,2,32,100000,1000000,20260816,higher
D175_minus_D129,external42_primary,macro_label_dice,42,42,5,subject_equal_paired_mean_difference,0.008928941027632921,0.0025279782934655897,0.015536460004842666,0.01004998995001005,0.0021149843187231454,30,12,0,100000,1000000,20260817,higher
D175_minus_D129,external42_primary,label_set_jaccard,42,42,5,subject_equal_paired_mean_difference,-0.0009920634920634911,-0.0029761904761904734,0.0,1.0,0.31731050786291415,0,1,41,100000,1000000,20260818,higher
D175_minus_D129,external42_primary,complete_label_set_indicator,42,42,5,subject_equal_paired_mean_difference,-0.023809523809523808,-0.07142857142857142,0.0,1.0,0.31731050786291415,0,1,41,100000,1000000,20260819,higher
D175_minus_D129,external42_primary,missing_label_count,42,42,5,subject_equal_paired_mean_difference,0.023809523809523808,0.0,0.07142857142857142,1.0,0.31731050786291415,1,0,41,100000,1000000,20260820,lower
D175_minus_D129,external42_primary,extra_label_count,42,42,5,subject_equal_paired_mean_difference,0.0,0.0,0.0,1.0,1.0,0,0,42,100000,1000000,20260821,lower
D175_minus_D129,external42_primary,label_detection_rate,42,42,5,subject_equal_paired_mean_difference,-0.0009920634920634911,-0.0029761904761904734,0.0,1.0,0.31731050786291415,0,1,41,100000,1000000,20260822,higher
D175_minus_D129,external42_primary,common_matched_hd95_mm,42,42,5,subject_equal_paired_mean_difference,-0.36067946623247527,-0.6818606989067746,-0.06264857342694741,0.027415972584027417,0.016229288854597405,10,26,6,100000,1000000,20260823,lower
D175_minus_D129,external42_primary,common_matched_assd_mm,42,42,5,subject_equal_paired_mean_difference,-0.09018835431784786,-0.1657929182191908,-0.01902101927140309,0.020112979887020113,0.001673350068358559,10,32,0,100000,1000000,20260824,lower
D175_minus_D129,external42_primary,hd95_penalized_mm,42,42,5,subject_equal_paired_mean_difference,0.46455852521622004,-0.6299318083632772,2.3448129406707743,0.9925290074709925,0.020918372932892625,10,26,6,100000,1000000,20260825,lower
D175_minus_D129,external42_primary,assd_penalized_mm,42,42,5,subject_equal_paired_mean_difference,0.768642322023204,-0.1564859925484325,2.551563946430805,0.9977440022559978,0.002019124149228446,10,32,0,100000,1000000,20260826,lower
