variant,model,subjects,foreground_dice_mean,foreground_dice_sd,identification_rate_mean,identification_rate_sd,macro_label_dice_mean,macro_label_dice_sd,label_set_jaccard_mean,label_set_jaccard_sd,complete_label_set_indicator_mean,complete_label_set_indicator_sd,missing_label_count_mean,missing_label_count_sd,extra_label_count_mean,extra_label_count_sd,label_detection_rate_mean,label_detection_rate_sd,conditional_matched_hd95_mm_mean,conditional_matched_hd95_mm_sd,conditional_matched_assd_mm_mean,conditional_matched_assd_mm_sd,hd95_penalized_mm_mean,hd95_penalized_mm_sd,assd_penalized_mm_mean,assd_penalized_mm_sd,common_matched_hd95_mm_mean,common_matched_hd95_mm_sd,common_matched_assd_mm_mean,common_matched_assd_mm_sd
loose,d119,42,0.9441803809523809,0.009003728162652708,0.9474205952380951,0.09610450910973126,0.8599844207466745,0.09308781295582025,0.997063492063492,0.010718177982734896,0.9285714285714286,0.26066118021500656,0.047619047619047616,0.21554026870452117,0.023809523809523808,0.15430334996209188,0.9980158730158731,0.00898084452935504,5.465034105337551,7.708362615159115,1.3883636385035993,2.345937023124672,7.1796546771023975,10.888902481772957,3.110825744941748,8.106744259485477,,,,
loose,d129,42,0.9447686666666667,0.009007565437213936,0.9494047142857143,0.09041824677366674,0.8586470506238849,0.08894002760647474,0.9990079365079365,0.00642930624842049,0.9761904761904762,0.15430334996209188,0.023809523809523808,0.15430334996209188,0.0,0.0,0.9990079365079365,0.00642930624842049,5.075037180166408,3.9877213005045786,1.21070824693045,1.3455608900840164,5.887785998605049,6.728111448998762,2.02827927674115,5.4632242800733914,5.018390793058011,3.970862470606848,1.1771684613746918,1.3314646972989876
loose,d162,42,0.9445818333333332,0.009373089497473194,0.9484126666666667,0.09054634877412344,0.8580199577637726,0.09106641869712309,0.9980158730158731,0.00898084452935504,0.9523809523809523,0.21554026870452117,0.047619047619047616,0.21554026870452117,0.0,0.0,0.9980158730158731,0.00898084452935504,5.6320559547907845,7.602301597851309,1.4023005962303128,2.3130445246112394,7.347652772976747,10.719881677788765,3.1251087082307256,8.060842375459107,,,,
loose,d175,42,0.9444148333333333,0.009117364742599348,0.9543650952380952,0.08865598637727344,0.863034381544663,0.09006179919791062,0.9980158730158731,0.00898084452935504,0.9523809523809523,0.21554026870452117,0.047619047619047616,0.21554026870452117,0.0,0.0,0.9980158730158731,0.00898084452935504,4.51943996521406,3.024453815883736,1.1443406980676225,1.3966698164511684,6.233914656377925,8.489600655032653,2.8669604061071405,7.92696972283057,4.51943996521406,3.024453815883736,1.1443406980676225,1.3966698164511684
primary,d119,42,0.9443222142857144,0.008730643829905621,0.9513888571428571,0.09559959713318815,0.8619212564854176,0.09420041569834106,0.9980158730158731,0.00898084452935504,0.9523809523809523,0.21554026870452117,0.047619047619047616,0.21554026870452117,0.0,0.0,0.9980158730158731,0.00898084452935504,5.4313387424658,7.700039100016234,1.343752302181318,2.368017453522855,7.116846671859681,10.78496144983002,3.037188285639447,7.970968273329394,,,,
primary,d129,42,0.9446526666666667,0.008763263777413093,0.9434523809523809,0.09286058251787273,0.8525702327827245,0.09232861661726517,0.9990079365079365,0.00642930624842049,0.9761904761904762,0.15430334996209188,0.023809523809523808,0.15430334996209188,0.0,0.0,0.9990079365079365,0.00642930624842049,4.850375380430809,3.088390758814616,1.2279223256803284,1.340508182957202,5.654085384581927,6.420093993220851,2.0376790780334377,5.4606052454412195,4.795494961178096,3.0410740495580666,1.2035643606657043,1.3283224615955862
primary,d162,42,0.9445422380952382,0.009161507424184704,0.9494047142857144,0.09227247708355883,0.8571429241117411,0.09343742410857493,0.9990079365079365,0.00642930624842049,0.9761904761904762,0.15430334996209188,0.023809523809523808,0.15430334996209188,0.0,0.0,0.9990079365079365,0.00642930624842049,5.67037562680778,7.577023262239112,1.4292876261611391,2.2968621001335894,6.477988166809018,9.028358875571907,2.239628050285649,5.659134849613405,,,,
primary,d175,42,0.9443450952380952,0.009066314791200862,0.9494047380952382,0.09181241053499689,0.8614991738103575,0.09386564709698193,0.9980158730158731,0.00898084452935504,0.9523809523809523,0.21554026870452117,0.047619047619047616,0.21554026870452117,0.0,0.0,0.9980158730158731,0.00898084452935504,4.434815494945621,3.0706718413578518,1.1133760063478566,1.3544654448464846,6.118643909798147,8.541692687865169,2.8063214000566417,7.840927395064685,4.434815494945621,3.0706718413578518,1.1133760063478566,1.3544654448464846
tight,d119,42,0.9444183809523811,0.00871670964704273,0.9484126666666667,0.0933101035401133,0.8617385427495751,0.09032472764964498,0.9980158730158731,0.00898084452935504,0.9523809523809523,0.21554026870452117,0.047619047619047616,0.21554026870452117,0.0,0.0,0.9980158730158731,0.00898084452935504,5.383469781602695,7.678985502284937,1.3488727581013482,2.333040484465531,7.0293550401050044,10.595523061018893,3.002270092020622,7.754153417151336,,,,
tight,d129,42,0.9448340952380954,0.008798656509999253,0.947420642857143,0.09112903586454235,0.8581841783354656,0.08579007333248537,0.9980158730158731,0.00898084452935504,0.9523809523809523,0.21554026870452117,0.047619047619047616,0.21554026870452117,0.0,0.0,0.9980158730158731,0.00898084452935504,4.586032439092644,2.7736992752178855,1.1541737650531212,1.2686371770880187,6.229897507151091,8.186042227134873,2.806921188168348,7.617008481479957,4.586032439092644,2.7736992752178855,1.1541737650531212,1.2686371770880187
