comparison,variant,metric,penalty_family,parameter_unit,intercept_at_zero_penalty,slope_per_parameter_unit,break_even_value,break_even_is_finite,break_even_is_nonnegative,break_even_within_prespecified_0p25_to_1p00,current_parameter_value,mean_difference_at_current_parameter,direction_at_current_parameter,common_matched_mean_difference,direction_reversed_vs_common_matched_at_current,linear_fit_max_abs_error,d175_missed_labels,d129_missed_labels
D175_minus_D129,primary,hd95_penalized_mm,case_specific_roi_diagonal_multiplier,multiplier,-0.4197568774645729,0.8843154026807931,0.474668739447582,True,True,True,1.0,0.4645585252162202,D175_higher_worse,-0.3606794662324752,True,2.498001805406602e-16,2,1
D175_minus_D129,primary,hd95_penalized_mm,fixed_distance_mm,mm,-0.41975687746457296,0.000992063492063492,423.11493248428957,True,True,,100.0,-0.3205505282582238,D175_lower_better,-0.3606794662324752,False,0.0,2,1
D175_minus_D129,primary,assd_penalized_mm,case_specific_roi_diagonal_multiplier,multiplier,-0.1156730806575892,0.8843154026807932,0.130805231150478,True,True,False,1.0,0.768642322023204,D175_higher_worse,-0.0901883543178478,True,5.551115123125783e-17,2,1
D175_minus_D129,primary,assd_penalized_mm,fixed_distance_mm,mm,-0.1156730806575891,0.000992063492063492,116.59846530284983,True,True,,100.0,-0.0164667314512399,D175_lower_better,-0.0901883543178478,False,0.0,2,1
D175_minus_D129,tight,hd95_penalized_mm,case_specific_roi_diagonal_multiplier,multiplier,0.0123522644395135,-8.00285763583967e-16,,False,False,False,1.0,0.0123522644395127,D175_higher_worse,0.0115680103712526,False,1.9949319973733282e-16,2,2
D175_minus_D129,tight,hd95_penalized_mm,fixed_distance_mm,mm,0.0123522644395132,0.0,,False,False,,100.0,0.0123522644395132,D175_higher_worse,0.0115680103712526,False,0.0,2,2
D175_minus_D129,tight,assd_penalized_mm,case_specific_roi_diagonal_multiplier,multiplier,-0.037893647547647465,-1.3877787807814457e-16,,False,False,False,1.0,-0.0378936475476476,D175_lower_better,-0.0380864344237477,False,3.677613769070831e-16,2,2
D175_minus_D129,tight,assd_penalized_mm,fixed_distance_mm,mm,-0.0378936475476476,0.0,,False,False,,100.0,-0.0378936475476476,D175_lower_better,-0.0380864344237477,False,0.0,2,2
D175_minus_D129,loose,hd95_penalized_mm,case_specific_roi_diagonal_multiplier,multiplier,-0.5599550327993508,0.9060836905722277,0.617994826113377,True,True,True,1.0,0.346128657772877,D175_higher_worse,-0.4989508278439518,True,2.220446049250313e-16,2,1
D175_minus_D129,loose,hd95_penalized_mm,fixed_distance_mm,mm,-0.5599550327993505,0.000992063492063492,564.4346730617453,True,True,,100.0,-0.4607486835930013,D175_lower_better,-0.4989508278439518,False,0.0,2,1
D175_minus_D129,loose,assd_penalized_mm,case_specific_roi_diagonal_multiplier,multiplier,-0.06740256120623678,0.9060836905722272,0.0743888913436566,True,True,False,1.0,0.8386811293659904,D175_higher_worse,-0.0328277633070692,True,0.0,2,1
D175_minus_D129,loose,assd_penalized_mm,fixed_distance_mm,mm,-0.0674025612062369,0.000992063492063492,67.9417816958868,True,True,,100.0,0.0318037880001123,D175_higher_worse,-0.0328277633070692,True,0.0,2,1
