comparison,variant,penalty_scheme,penalty_type,diagonal_multiplier,fixed_penalty_mm,metric,subjects,d175_mean,d129_mean,mean_difference,bootstrap_ci_low,bootstrap_ci_high,paired_sign_flip_permutation_p,wilcoxon_p_secondary,positive,negative,zero,common_matched_mean_difference,direction_reversed_vs_common_matched,bootstrap_repetitions,permutation_repetitions,bootstrap_seed,permutation_seed
D175_minus_D129,primary,diagonal_0p25,case_specific_roi_diagonal,0.25,,hd95_penalized_mm,42,4.846960171069638,5.0456381978640135,-0.19867802679437468,-0.6324043756509418,0.3323771553444414,0.4753005246994753,0.020918372932892625,10,26,6,-0.36067946623247527,False,100000,1000000,20260715,20260716
D175_minus_D129,primary,diagonal_0p25,case_specific_roi_diagonal,0.25,,assd_penalized_mm,42,1.5346376613281336,1.429231891315524,0.10540577001260915,-0.15661056578624558,0.5601784751617673,0.9977290022709977,0.002019124149228446,10,32,0,-0.09018835431784786,True,100000,1000000,20260717,20260718
D175_minus_D129,primary,diagonal_0p50,case_specific_roi_diagonal,0.5,,hd95_penalized_mm,42,5.270854750645808,5.248453926769985,0.022400823875823497,-0.6275603192691902,1.0104530821017061,0.9951990048009952,0.020918372932892625,10,26,6,-0.36067946623247527,True,100000,1000000,20260719,20260720
D175_minus_D129,primary,diagonal_0p50,case_specific_roi_diagonal,0.5,,assd_penalized_mm,42,1.9585322409043027,1.6320476202214953,0.3264846206828075,-0.15647631051921485,1.2280981526383954,0.9976290023709976,0.002019124149228446,10,32,0,-0.09018835431784786,True,100000,1000000,20260721,20260722
D175_minus_D129,primary,diagonal_1p00_current,case_specific_roi_diagonal,1.0,,hd95_penalized_mm,42,6.118643909798147,5.654085384581927,0.4645585252162202,-0.6288672740571103,2.3435014533787712,0.9923470076529923,0.020918372932892625,10,26,6,-0.36067946623247527,True,100000,1000000,20260723,20260724
D175_minus_D129,primary,diagonal_1p00_current,case_specific_roi_diagonal,1.0,,assd_penalized_mm,42,2.8063214000566417,2.0376790780334377,0.768642322023204,-0.1561477585483189,2.5504516524103926,0.9977430022569977,0.002019124149228446,10,32,0,-0.09018835431784786,True,100000,1000000,20260725,20260726
D175_minus_D129,primary,fixed_100mm,fixed_distance_mm,,100.0,hd95_penalized_mm,42,4.621478289906167,4.942028818164392,-0.32055052825822383,-0.6545285259226229,0.0028770016288804266,0.06668393331606669,0.01923857286642341,10,26,6,-0.36067946623247527,False,100000,1000000,20260727,20260728
D175_minus_D129,primary,fixed_100mm,fixed_distance_mm,,100.0,assd_penalized_mm,42,1.3091557801646623,1.3256225116159022,-0.01646673145123993,-0.15588620370989564,0.19301052067385577,0.9656020343979655,0.002019124149228446,10,32,0,-0.09018835431784786,False,100000,1000000,20260729,20260730
D175_minus_D129,tight,diagonal_0p25,case_specific_roi_diagonal,0.25,,hd95_penalized_mm,42,5.000822925764905,4.988470661325392,0.012352264439513337,-0.41658878085215734,0.588137623738677,0.9785700214299786,0.39219388758299845,18,20,4,0.011568010371252662,False,100000,1000000,20260731,20260732
D175_minus_D129,tight,diagonal_0p25,case_specific_roi_diagonal,0.25,,assd_penalized_mm,42,1.5276006947950007,1.5654943423426486,-0.037893647547647555,-0.1187850042510859,0.04402740744804645,0.37471762528237473,0.11584491614530634,17,25,0,-0.03808643442374771,False,100000,1000000,20260733,20260734
D175_minus_D129,tight,diagonal_0p50,case_specific_roi_diagonal,0.5,,hd95_penalized_mm,42,5.414631874373471,5.402279609933959,0.012352264439512914,-0.41647390980285826,0.584211424484541,0.9786830213169787,0.39219388758299845,18,20,4,0.011568010371252662,False,100000,1000000,20260735,20260736
D175_minus_D129,tight,diagonal_0p50,case_specific_roi_diagonal,0.5,,assd_penalized_mm,42,1.941409643403567,1.9793032909512154,-0.03789364754764798,-0.11842938045195198,0.04492792973242026,0.3750926249073751,0.11584491614530634,17,25,0,-0.03808643442374771,False,100000,1000000,20260737,20260738
D175_minus_D129,tight,diagonal_1p00_current,case_specific_roi_diagonal,1.0,,hd95_penalized_mm,42,6.242249771590604,6.229897507151091,0.012352264439512746,-0.4148421545295562,0.5846327971105483,0.9787800212199788,0.39219388758299845,18,20,4,0.011568010371252662,False,100000,1000000,20260739,20260740
D175_minus_D129,tight,diagonal_1p00_current,case_specific_roi_diagonal,1.0,,assd_penalized_mm,42,2.7690275406207,2.806921188168348,-0.037893647547647645,-0.11914936656595075,0.04507345890580402,0.37451862548137455,0.11584491614530634,17,25,0,-0.03808643442374771,False,100000,1000000,20260741,20260742
D175_minus_D129,tight,fixed_100mm,fixed_distance_mm,,100.0,hd95_penalized_mm,42,4.7854266755690364,4.773074411129524,0.01235226443951321,-0.41861501994981404,0.5932295603611715,0.9785230214769786,0.39219388758299845,18,20,4,0.011568010371252662,False,100000,1000000,20260743,20260744
D175_minus_D129,tight,fixed_100mm,fixed_distance_mm,,100.0,assd_penalized_mm,42,1.312204444599133,1.3500980921467804,-0.03789364754764769,-0.1180844405282927,0.04441362443817667,0.3747326252673747,0.11584491614530634,17,25,0,-0.03808643442374771,False,100000,1000000,20260745,20260746
D175_minus_D129,loose,diagonal_0p25,case_specific_roi_diagonal,0.25,,hd95_penalized_mm,42,4.940289429018419,5.273723539174714,-0.3334341101562938,-1.2416366828154837,0.3842900054847423,0.5236384763615236,0.2324765228038711,14,22,6,-0.49895082784395184,False,100000,1000000,20260747,20260748
