comparison,variant,metric,subjects,d175_mean,d129_mean,mean_difference,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,positive,negative,zero,favorable_direction_for_d175,bootstrap_repetitions,seed
D175_minus_D129,tight,foreground_dice,42,0.9445965714285717,0.9448340952380954,-0.00023752380952380388,-0.0006013815476190498,0.00015221607142858372,0.0991903656354225,15,27,0,higher,20000,20260815
D175_minus_D129,tight,identification_rate,42,0.9503968333333335,0.947420642857143,0.002976190476190476,-0.001984166666666668,0.008928595238095239,0.31731050786291415,4,2,36,higher,20000,20260816
D175_minus_D129,tight,macro_label_dice,42,0.86423441527513,0.8581841783354656,0.006050236939664234,-0.00044835965466667103,0.012443755614746133,0.0158250710410357,29,13,0,higher,20000,20260817
D175_minus_D129,tight,label_set_jaccard,42,0.9980158730158731,0.9980158730158731,0.0,0.0,0.0,1.0,0,0,42,higher,20000,20260818
D175_minus_D129,tight,complete_label_set_indicator,42,0.9523809523809523,0.9523809523809523,0.0,0.0,0.0,1.0,0,0,42,higher,20000,20260819
D175_minus_D129,tight,missing_label_count,42,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,1.0,0,0,42,lower,20000,20260820
D175_minus_D129,tight,extra_label_count,42,0.0,0.0,0.0,0.0,0.0,1.0,0,0,42,lower,20000,20260821
D175_minus_D129,tight,label_detection_rate,42,0.9980158730158731,0.9980158730158731,0.0,0.0,0.0,1.0,0,0,42,higher,20000,20260822
D175_minus_D129,tight,common_matched_hd95_mm,42,4.597600449463896,4.586032439092644,0.011568010371252662,-0.4173560873411016,0.5873050758594773,0.39219388758299845,18,20,4,lower,20000,20260823
D175_minus_D129,tight,common_matched_assd_mm,42,1.1160873306293737,1.1541737650531212,-0.03808643442374767,-0.12104935684794921,0.044551529540388914,0.11584491614530634,17,25,0,lower,20000,20260824
D175_minus_D129,tight,hd95_penalized_mm,42,6.242249771590604,6.229897507151091,0.012352264439512746,-0.4195389570344892,0.5717490992532724,0.39219388758299845,18,20,4,lower,20000,20260825
D175_minus_D129,tight,assd_penalized_mm,42,2.7690275406207,2.806921188168348,-0.037893647547647645,-0.11855043708773381,0.04403553386881329,0.11584491614530634,17,25,0,lower,20000,20260826
D175_minus_D129,loose,foreground_dice,42,0.9444148333333333,0.9447686666666667,-0.0003538333333333363,-0.0007738178571428723,7.200357142856928e-05,0.0602261782100868,15,27,0,higher,20000,20260915
D175_minus_D129,loose,identification_rate,42,0.9543650952380952,0.9494047142857143,0.004960380952380954,-0.001984071428571427,0.012896904761904764,0.08005660045072684,6,3,33,higher,20000,20260916
D175_minus_D129,loose,macro_label_dice,42,0.863034381544663,0.8586470506238849,0.004387330920778241,-0.0011190689562955909,0.010267481122825068,0.2277620672807643,24,18,0,higher,20000,20260917
D175_minus_D129,loose,label_set_jaccard,42,0.9980158730158731,0.9990079365079365,-0.0009920634920634911,-0.0029761904761904734,0.0,0.31731050786291415,0,1,41,higher,20000,20260918
D175_minus_D129,loose,complete_label_set_indicator,42,0.9523809523809523,0.9761904761904762,-0.023809523809523808,-0.07142857142857142,0.0,0.31731050786291415,0,1,41,higher,20000,20260919
D175_minus_D129,loose,missing_label_count,42,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.0,0.07142857142857142,0.31731050786291415,1,0,41,lower,20000,20260920
D175_minus_D129,loose,extra_label_count,42,0.0,0.0,0.0,0.0,0.0,1.0,0,0,42,lower,20000,20260921
D175_minus_D129,loose,label_detection_rate,42,0.9980158730158731,0.9990079365079365,-0.0009920634920634911,-0.0029761904761904734,0.0,0.31731050786291415,0,1,41,higher,20000,20260922
D175_minus_D129,loose,common_matched_hd95_mm,42,4.51943996521406,5.018390793058011,-0.49895082784395167,-1.3378357551875089,0.0418871352133293,0.1817458347280566,14,22,6,lower,20000,20260923
D175_minus_D129,loose,common_matched_assd_mm,42,1.1443406980676225,1.1771684613746918,-0.032827763307069255,-0.11834434846343644,0.05024836798354384,0.5773308297893891,20,22,0,lower,20000,20260924
D175_minus_D129,loose,hd95_penalized_mm,42,6.233914656377925,5.887785998605049,0.346128657772877,-1.1510215475693963,2.454440465502576,0.23867976976552896,14,22,6,lower,20000,20260925
D175_minus_D129,loose,assd_penalized_mm,42,2.8669604061071405,2.02827927674115,0.8386811293659904,-0.10418784307000997,2.641991938579167,0.6469152758700147,20,22,0,lower,20000,20260926
