subject_id,fold,metric,model,value,cases_aggregated
sub-verse010,0,common_matched_assd_mm,d129,0.17583111460021889,1
sub-verse010,0,common_matched_assd_mm,d175,0.18997600580619034,1
sub-verse010,0,common_matched_hd95_mm,d129,1.0,1
sub-verse010,0,common_matched_hd95_mm,d175,1.0,1
sub-verse010,0,complete_label_set_indicator,d129,0.0,1
sub-verse010,0,complete_label_set_indicator,d175,0.0,1
sub-verse010,0,foreground_dice,d129,0.920181,1
sub-verse010,0,foreground_dice,d175,0.906406,1
sub-verse010,0,identification_rate,d129,1.0,1
sub-verse010,0,identification_rate,d175,1.0,1
sub-verse010,0,label_set_jaccard,d129,0.7142857142857143,1
sub-verse010,0,label_set_jaccard,d175,0.7142857142857143,1
sub-verse010,0,macro_label_dice,d129,0.9644763809520611,1
sub-verse010,0,macro_label_dice,d175,0.961992864982063,1
sub-verse010,0,missing_label_count,d129,0.0,1
sub-verse010,0,missing_label_count,d175,0.0,1
sub-verse010,1,common_matched_assd_mm,d129,0.1829896498938099,1
sub-verse010,1,common_matched_assd_mm,d175,0.19390939076081232,1
sub-verse010,1,common_matched_hd95_mm,d129,1.0,1
sub-verse010,1,common_matched_hd95_mm,d175,1.0,1
sub-verse010,1,complete_label_set_indicator,d129,0.0,1
sub-verse010,1,complete_label_set_indicator,d175,0.0,1
sub-verse010,1,foreground_dice,d129,0.909042,1
sub-verse010,1,foreground_dice,d175,0.899444,1
sub-verse010,1,identification_rate,d129,1.0,1
sub-verse010,1,identification_rate,d175,1.0,1
sub-verse010,1,label_set_jaccard,d129,0.7142857142857143,1
sub-verse010,1,label_set_jaccard,d175,0.7142857142857143,1
sub-verse010,1,macro_label_dice,d129,0.962815674394365,1
sub-verse010,1,macro_label_dice,d175,0.9612262734419316,1
sub-verse010,1,missing_label_count,d129,0.0,1
sub-verse010,1,missing_label_count,d175,0.0,1
sub-verse010,2,common_matched_assd_mm,d129,0.17988187512494042,1
sub-verse010,2,common_matched_assd_mm,d175,0.18044379973851582,1
sub-verse010,2,common_matched_hd95_mm,d129,1.0,1
sub-verse010,2,common_matched_hd95_mm,d175,1.0,1
sub-verse010,2,complete_label_set_indicator,d129,0.0,1
sub-verse010,2,complete_label_set_indicator,d175,0.0,1
sub-verse010,2,foreground_dice,d129,0.91255,1
sub-verse010,2,foreground_dice,d175,0.892242,1
sub-verse010,2,identification_rate,d129,1.0,1
sub-verse010,2,identification_rate,d175,1.0,1
sub-verse010,2,label_set_jaccard,d129,0.7142857142857143,1
sub-verse010,2,label_set_jaccard,d175,0.625,1
sub-verse010,2,macro_label_dice,d129,0.9637372750732098,1
