Label,Vertebra,D119_pooled_Dice,D162_pooled_Dice,D129_pooled_Dice,D162_minus_D119,D129_minus_D119
1,C1,0.944149,0.943538,0.949722,-0.000611,0.005573
2,C2,0.954759,0.952214,0.956950,-0.002545,0.002191
3,C3,0.948627,0.945909,0.947232,-0.002718,-0.001396
4,C4,0.940914,0.934515,0.937894,-0.006399,-0.003020
5,C5,0.874664,0.869507,0.878620,-0.005157,0.003955
6,C6,0.871968,0.857190,0.867840,-0.014779,-0.004128
7,C7,0.884422,0.860227,0.866417,-0.024195,-0.018004
8,T1,0.864128,0.862315,0.867536,-0.001813,0.003408
9,T2,0.864335,0.865377,0.858231,0.001041,-0.006104
10,T3,0.822512,0.808660,0.814389,-0.013852,-0.008123
11,T4,0.927926,0.914787,0.923882,-0.013139,-0.004044
12,T5,0.938996,0.922486,0.931730,-0.016510,-0.007266
13,T6,0.915103,0.904985,0.901542,-0.010118,-0.013561
14,T7,0.849252,0.856048,0.856673,0.006797,0.007422
15,T8,0.732637,0.779081,0.775363,0.046444,0.042726
16,T9,0.767670,0.802230,0.789523,0.034560,0.021853
17,T10,0.840610,0.854703,0.838182,0.014093,-0.002428
18,T11,0.899002,0.890950,0.894693,-0.008052,-0.004309
19,T12,0.839068,0.829442,0.837975,-0.009626,-0.001092
20,L1,0.937127,0.935164,0.935883,-0.001963,-0.001244
21,L2,0.918539,0.923161,0.920518,0.004623,0.001980
22,L3,0.899091,0.903315,0.900312,0.004224,0.001221
23,L4,0.894016,0.891185,0.891878,-0.002830,-0.002137
24,L5,0.920268,0.917087,0.918739,-0.003180,-0.001529
25,L6,0.000000,0.000000,0.000000,0.000000,0.000000
