background,delta,observed_mean_diff,observed_sd_diff,mean_estimate,median_ci_low,median_ci_high,detection_rate_ci_excludes_zero
D175_minus_D129_filtering,0.0,-0.000934,0.008694,-3.7e-05,-0.002216,0.002074,0.03
D175_minus_D129_filtering,0.001,-0.000934,0.008694,0.001006,-0.001087,0.003063,0.15
D175_minus_D129_filtering,0.003,-0.000934,0.008694,0.003073,0.001074,0.005157,0.776667
D175_minus_D129_filtering,0.005,-0.000934,0.008694,0.004979,0.002983,0.00693,0.956667
D175_minus_D129_filtering,0.01,-0.000934,0.008694,0.010089,0.007914,0.012139,1.0
D175_minus_D129_filtering,0.02,-0.000934,0.008694,0.020063,0.017989,0.022112,1.0
D162_minus_D119_second_residual,0.0,-0.001773,0.016465,7.2e-05,-0.00406,0.004339,0.033333
D162_minus_D119_second_residual,0.001,-0.001773,0.016465,0.001084,-0.003208,0.005366,0.086667
D162_minus_D119_second_residual,0.003,-0.001773,0.016465,0.002926,-0.0011,0.007111,0.273333
D162_minus_D119_second_residual,0.005,-0.001773,0.016465,0.005028,0.000808,0.009325,0.606667
D162_minus_D119_second_residual,0.01,-0.001773,0.016465,0.010005,0.00578,0.014357,0.98
D162_minus_D119_second_residual,0.02,-0.001773,0.016465,0.020121,0.015805,0.024263,1.0
D129_minus_D119_third_residual,0.0,-0.000827,0.016767,-8e-06,-0.00368,0.003949,0.013333
D129_minus_D119_third_residual,0.001,-0.000827,0.016767,0.000947,-0.00285,0.004755,0.056667
D129_minus_D119_third_residual,0.003,-0.000827,0.016767,0.003159,-0.000423,0.00693,0.363333
D129_minus_D119_third_residual,0.005,-0.000827,0.016767,0.005093,0.001285,0.009055,0.776667
D129_minus_D119_third_residual,0.01,-0.000827,0.016767,0.010006,0.006411,0.013725,1.0
D129_minus_D119_third_residual,0.02,-0.000827,0.016767,0.020089,0.01647,0.02396,1.0
