comparison,cohort,metric,cases,subjects,estimand,endpoint_role,favorable_direction_for_d175,mean_difference,bootstrap_ci_low,bootstrap_ci_high,permutation_p,wilcoxon_p_secondary,positive,negative,zero,bootstrap_repetitions,permutation_repetitions,seed,statistics_source,p_holm,q_fdr_bh,holm_significant,fdr_significant,multiplicity_basis,multiplicity_family_size
D175_minus_D129,internal37,foreground_dice,40,37,subject_equal_paired_mean_difference,joint_explanatory,higher,-0.0014706567567567,-0.0038258230405405,0.0004147462837837,0.2003497996502003,0.0774078067188384,13,24,0,100000,1000000,20260715,reused_and_mean_verified_from_step5,1.0,0.5342661324005341,False,False,paired_sign_flip_permutation_p,8
D175_minus_D129,internal37,identification_rate,40,37,subject_equal_paired_mean_difference,joint_explanatory,higher,-0.0055425351351351,-0.0190147895945945,0.0058116714864864,0.4398515601484398,0.4264349843826127,5,10,22,100000,1000000,20260716,reused_and_mean_verified_from_step5,1.0,0.7037624962375036,False,False,paired_sign_flip_permutation_p,8
D175_minus_D129,internal37,macro_label_dice,40,37,subject_equal_paired_mean_difference,mechanism_secondary,higher,-0.003179449458391627,-0.013590347374366598,0.0066427617091828,0.5678504321495679,0.0748431685497053,12,25,0,100000,1000000,20261217,computed_from_step6_subject_effects,1.0,0.7138392861607138,False,False,paired_sign_flip_permutation_p,8
D175_minus_D129,internal37,label_set_jaccard,40,37,subject_equal_paired_mean_difference,mechanism_secondary,higher,-0.009056382436379748,-0.01738232500761104,-0.0008741304211758036,0.042002957997042005,0.048305501221226586,13,20,4,100000,1000000,20261218,computed_from_step6_subject_effects,0.33602366397633604,0.21804378195621804,False,False,paired_sign_flip_permutation_p,8
D175_minus_D129,internal37,complete_label_set_indicator,40,37,subject_equal_paired_mean_difference,mechanism_secondary,higher,-0.010810810810810813,-0.032432432432432434,0.010810810810810806,0.6246093753906246,0.1305700181157362,1,3,33,100000,1000000,20261219,computed_from_step6_subject_effects,1.0,0.7138392861607138,False,False,paired_sign_flip_permutation_p,8
D175_minus_D129,internal37,missing_label_count,40,37,subject_equal_paired_mean_difference,mechanism_secondary,lower,-0.005405405405405404,-0.016216216216216214,0.0,1.0,0.31731050786291415,0,1,36,100000,1000000,20261220,computed_from_step6_subject_effects,1.0,1.0,False,False,paired_sign_flip_permutation_p,8
D175_minus_D129,internal37,common_matched_hd95_mm,40,37,subject_equal_paired_mean_difference,mechanism_secondary,lower,0.47581443925754974,0.02777407126069308,0.9601672090797676,0.05451094548905451,0.01401703616449333,22,11,4,100000,1000000,20261221,computed_from_step6_subject_effects,0.3815766184233816,0.21804378195621804,False,False,paired_sign_flip_permutation_p,8
D175_minus_D129,internal37,common_matched_assd_mm,40,37,subject_equal_paired_mean_difference,mechanism_secondary,lower,0.06854361918980496,-0.08055780799841657,0.21432719339453155,0.3849296150703849,0.05667693595751189,24,13,0,100000,1000000,20261222,computed_from_step6_subject_effects,1.0,0.7037624962375036,False,False,paired_sign_flip_permutation_p,8
D175_minus_D129,external42_primary,foreground_dice,42,42,subject_equal_paired_mean_difference,joint_explanatory,higher,-0.0003075714285714,-0.0006370244047619,8.905357142853833e-06,0.0702309297690702,0.0249541457783379,14,28,0,100000,1000000,20260815,reused_and_mean_verified_from_step5,0.35115464884535097,0.1404618595381404,False,False,paired_sign_flip_permutation_p,8
D175_minus_D129,external42_primary,identification_rate,42,42,subject_equal_paired_mean_difference,joint_explanatory,higher,0.0059523571428571,-0.0019841428571428,0.0138888333333333,0.2171047828952171,0.2102822138461739,8,2,32,100000,1000000,20260816,reused_and_mean_verified_from_step5,0.8684191315808684,0.34736765263234737,False,False,paired_sign_flip_permutation_p,8
D175_minus_D129,external42_primary,macro_label_dice,42,42,subject_equal_paired_mean_difference,mechanism_secondary,higher,0.0089289410276329,0.0025279782934655,0.0155364600048426,0.01004998995001,0.0021149843187231,30,12,0,100000,1000000,20260817,reused_and_mean_verified_from_step5,0.08039991960008,0.07310926022407306,False,False,paired_sign_flip_permutation_p,8
D175_minus_D129,external42_primary,label_set_jaccard,42,42,subject_equal_paired_mean_difference,mechanism_secondary,higher,-0.0009920634920634,-0.0029761904761904,0.0,1.0,0.3173105078629141,0,1,41,100000,1000000,20260818,reused_and_mean_verified_from_step5,1.0,1.0,False,False,paired_sign_flip_permutation_p,8
