paper_role,dataset_id,dataset_name,fold,requested_scope,checkpoint_type,checkpoint_path,checkpoint_exists,size_bytes,mtime,sha256,training_log,training_cases,validation_cases,training_done,validation_complete,prediction_metadata_dataset_hits,prediction_metadata_explicit_checkpoint_hits,prediction_metadata_paths,explicit_checkpoint_metadata_paths,trainer_configuration,selection_basis,paper_checkpoint_role,used_for_reported_result,best_checkpoint_used,result_usage,correction_status,checkpoint_training_complete,post_training_validation_export_recorded
D119_full_supervised,119,Dataset119_VerSe19,0,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset119_VerSe19/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,True,248512477,2026-03-22T02:47:54,ba2ddaf4fe210e20096eb64fc0380bbc249c9f2c15aa912dc97dfbd2e239405e,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset119_VerSe19/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/training_log_2026_3_21_15_47_27.txt,64,16,True,False,2,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/fold0_imagesTs/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/folds01234_imagesTs/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,pseudo-label teacher; fold0 internal evaluation; member of D119 five-fold ensemble,not applicable,True,False
D119_full_supervised,119,Dataset119_VerSe19,1,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset119_VerSe19/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,True,248511325,2026-03-25T14:09:32,8f1afcd9493d4efd65cc055cbd012bca1ea5f96cd4c79a7ffee237904b7adbf9,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset119_VerSe19/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_1/training_log_2026_3_24_18_59_33.txt,64,16,True,False,2,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/fold0_imagesTs/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/folds01234_imagesTs/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D119 five-fold ensemble,not applicable,True,False
D119_full_supervised,119,Dataset119_VerSe19,2,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset119_VerSe19/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,True,248511581,2026-03-25T14:27:10,9940634e471ffa5d286cbb14a6e79f8dac4574ba66dfacf7498d325d34e54e79,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset119_VerSe19/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_2/training_log_2026_3_24_18_59_39.txt,64,16,True,False,2,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/fold0_imagesTs/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/folds01234_imagesTs/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D119 five-fold ensemble,not applicable,True,False
D119_full_supervised,119,Dataset119_VerSe19,3,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset119_VerSe19/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_3/checkpoint_final.pth,True,248512029,2026-03-26T09:56:37,c518f1507646d218d75b74361bc74d9be62e21a3ddc7a229dac1201fbc3c5a8e,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset119_VerSe19/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_3/training_log_2026_3_25_14_35_59.txt,64,16,True,True,2,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/fold0_imagesTs/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/folds01234_imagesTs/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D119 five-fold ensemble,not applicable,True,True
D119_full_supervised,119,Dataset119_VerSe19,4,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset119_VerSe19/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_4/checkpoint_final.pth,True,248511773,2026-03-26T10:04:35,69336041ef887d4ccfac31334490f59b9b49172822166918cdcb98e97a209dcb,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset119_VerSe19/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_4/training_log_2026_3_25_14_36_09.txt,64,16,True,True,2,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/fold0_imagesTs/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/folds01234_imagesTs/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D119 five-fold ensemble,not applicable,True,True
D129_10pct_SSL,129,Dataset129_VerSe19Pseudo70_seed42,0,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset129_VerSe19Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,True,248511901,2026-03-31T08:03:39,69563805c6998376cb3029c5916c88885eeaa1f0e95fdc4339a6d253fed952ad,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset129_VerSe19Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/training_log_2026_3_30_16_16_03.txt,62,16,True,True,3,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset129_pseudo70_fold0_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_paired129_trainconf_fold3_corrected_raw_notta_final/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_paired129_trainconf_fold4_corrected_raw_notta_final/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,standard nnUNetTrainer baseline matching folds1-4 and dataset129_pseudo70_fold0_official; WeakStrongConsistency variants excluded,final,True,False,fold-level internal evaluation; member of D129 five-fold ensemble,not applicable,True,True
D129_10pct_SSL,129,Dataset129_VerSe19Pseudo70_seed42,1,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset129_VerSe19Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,True,248473328,2026-05-27T05:45:25,6a56fb28d8cfe4afd58b6acf448508bce5f3abe0eeb89b4cb93fdb1277ae36ab,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset129_VerSe19Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_1/training_log_2026_5_26_00_54_51.txt,62,16,True,True,3,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset129_pseudo70_fold0_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_paired129_trainconf_fold3_corrected_raw_notta_final/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_paired129_trainconf_fold4_corrected_raw_notta_final/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D129 five-fold ensemble,not applicable,True,True
D129_10pct_SSL,129,Dataset129_VerSe19Pseudo70_seed42,2,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset129_VerSe19Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,True,248472944,2026-06-01T22:30:55,3716b6b6dde3285ec3c46d1d3eab2cd0a17dc77322e6321e92e77ef46777332c,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset129_VerSe19Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_2/training_log_2026_5_31_18_42_54.txt,62,16,True,True,3,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset129_pseudo70_fold0_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_paired129_trainconf_fold3_corrected_raw_notta_final/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_paired129_trainconf_fold4_corrected_raw_notta_final/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D129 five-fold ensemble,not applicable,True,True
D129_10pct_SSL,129,Dataset129_VerSe19Pseudo70_seed42,3,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset129_VerSe19Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_3/checkpoint_final.pth,True,248474544,2026-06-03T02:52:26,e59ad90321c60f5657d3b3440984351f9ff50a2f9bac81f34f59312b05339ae6,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset129_VerSe19Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_3/training_log_2026_6_1_22_50_16.txt,63,15,True,True,3,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset129_pseudo70_fold0_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_paired129_trainconf_fold3_corrected_raw_notta_final/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_paired129_trainconf_fold4_corrected_raw_notta_final/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D129 five-fold ensemble,not applicable,True,True
D129_10pct_SSL,129,Dataset129_VerSe19Pseudo70_seed42,4,True,checkpoint_final.pth,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset129_VerSe19Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_4/checkpoint_final.pth,True,248473200,2026-06-03T02:26:02,1d93844e41e01dc7e5afb99ea61692511fb27d4c4ad2aa4b3a04169761611feb,/home/sust/yyf/lunwen/verse-main/nnunet_results/Dataset129_VerSe19Pseudo70_seed42/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_4/training_log_2026_6_1_22_37_09.txt,63,15,True,True,3,0,/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset129_pseudo70_fold0_raw/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_paired129_trainconf_fold3_corrected_raw_notta_final/predict_from_raw_data_args.json|/home/sust/yyf/lunwen/verse-main/nnunet_predictions/dataset175_paired129_trainconf_fold4_corrected_raw_notta_final/predict_from_raw_data_args.json,,nnUNetTrainer__nnUNetPlans__3d_fullres,unique final checkpoint for requested fold,final,True,False,fold-level internal evaluation; member of D129 five-fold ensemble,not applicable,True,True
