case_id,num_labels,total_foreground_voxels,longest_run,gap_count,tiny_labels,tiny_fraction,mean_largest_cc_ratio,max_components_per_label,coverage_score,run_score,continuity_score,component_score,size_score,recomputed_score,predicted_labels,binary_dice,macro_label_dice,pred_label_count,gt_label_count,gt_labels,historical_score,score_abs_difference,confidence,kept_at_0p80
sub-verse146,4,158220,4,0,1,0.25,0.9978535590054316,5,0.4,0.5,1.0,0.9978535590054316,0.75,0.7095707118010863,21 22 23 24,0.9664191203553586,0.7234780235654675,4,3,22 23 24,0.709571,2.881989136227503e-07,0.709571,0
sub-verse036,4,146211,4,0,0,0.0,1.0,1,0.4,0.5,1.0,1.0,1.0,0.735,21 22 23 24,0.9656159278552163,0.9628657183528041,4,4,21 22 23 24,0.735,0.0,0.735,0
sub-verse405_split-verse259,6,158929,5,1,1,0.16666666666666666,0.9444444444444443,2,0.6,0.625,0.8,0.9444444444444443,0.8333333333333334,0.7409722222222223,18 20 21 22 23 24,0.9822023567655425,0.8181485360779556,6,5,20 21 22 23 24,0.740972,2.2222222229029143e-07,0.740972,0
sub-verse005,6,311976,5,2,1,0.16666666666666666,1.0,1,0.6,0.625,0.6,1.0,0.8333333333333334,0.7120833333333333,17 20 21 22 23 24,0.9743825937082251,0.8118625674088902,6,5,20 21 22 23 24,0.752083,0.039999666666666656,0.752083,0
sub-verse065,5,110349,5,0,1,0.2,0.999664972036903,2,0.5,0.625,1.0,0.999664972036903,0.8,0.7736829944073806,20 21 22 23 24,0.9757582591047469,0.7796751085304704,5,4,21 22 23 24,0.773683,5.592619367611462e-09,0.773683,0
sub-verse139,5,130902,5,0,0,0.0,1.0,1,0.5,0.625,1.0,1.0,1.0,0.7937500000000001,20 21 22 23 24,0.978179619863808,0.9778074165838995,5,5,20 21 22 23 24,0.79375,1.1102230246251565e-16,0.79375,0
sub-verse031,5,121538,5,0,0,0.0,1.0,1,0.5,0.625,1.0,1.0,1.0,0.7937500000000001,20 21 22 23 24,0.974475447069145,0.973293843884494,5,5,20 21 22 23 24,0.79375,1.1102230246251565e-16,0.79375,0
sub-verse076,6,145288,6,0,1,0.16666666666666666,0.9789815931739915,4,0.6,0.75,1.0,0.9789815931739915,0.8333333333333334,0.8316296519681317,19 20 21 22 23 24,0.980182077166037,0.8165278053760573,6,5,20 21 22 23 24,0.83163,3.480318683246608e-07,0.83163,1
sub-verse072,8,272123,6,1,1,0.125,0.9784894837476099,7,0.8,0.75,0.8571428571428572,0.9784894837476099,0.875,0.8371264681780934,16 17 19 20 21 22 23 24,0.9725326073706879,0.7308342914633943,8,6,19 20 21 22 23 24,0.837126,4.6817809340460315e-07,0.837126,1
sub-verse113,6,220194,6,0,0,0.0,0.9578940763052209,7,0.6,0.75,1.0,0.9578940763052209,1.0,0.8440788152610442,20 21 22 23 24 25,0.9770623925688982,0.818803881927696,6,5,21 22 23 24 25,0.844079,1.8473895579962374e-07,0.844079,1
sub-verse063,6,377495,6,0,0,0.0,0.992789751766197,5,0.6,0.75,1.0,0.992789751766197,1.0,0.8510579503532394,19 20 21 22 23 24,0.965810446595857,0.8056942228300114,6,5,20 21 22 23 24,0.851058,4.964676059149298e-08,0.851058,1
sub-verse102,7,337773,7,0,2,0.2857142857142857,0.9293699209471112,7,0.7,0.875,1.0,0.9293699209471112,0.7142857142857143,0.8685525556179936,18 19 20 21 22 23 24,0.9744085721214972,0.6953380444533425,7,5,20 21 22 23 24,0.868553,4.4438200641483405e-07,0.868553,1
sub-verse015,7,138022,7,0,1,0.14285714285714285,0.9386145809685976,8,0.7,0.875,1.0,0.9386145809685976,0.8571428571428572,0.8846872019080052,18 19 20 21 22 23 24,0.9581534277882647,0.8207622136482272,7,6,19 20 21 22 23 24,0.884687,2.019080052040323e-07,0.884687,1
sub-verse137,7,292178,7,0,0,0.0,0.9407541448579833,23,0.7,0.875,1.0,0.9407541448579833,1.0,0.8994008289715966,18 19 20 21 22 23 24,0.9326806860716167,0.7558610466872523,7,6,19 20 21 22 23 24,0.899401,1.7102840343952153e-07,0.899401,1
sub-verse008,7,182751,7,0,0,0.0,0.9833987254212687,7,0.7,0.875,1.0,0.9833987254212687,1.0,0.9079297450842537,18 19 20 21 22 23 24,0.9159691044342483,0.7953199574308075,7,6,19 20 21 22 23 24,0.90793,2.5491574628944136e-07,0.90793,1
sub-verse014,7,152440,7,0,0,0.0,0.9943291968966298,3,0.7,0.875,1.0,0.9943291968966298,1.0,0.9101158393793259,18 19 20 21 22 23 24,0.894837356375818,0.6846488181568228,7,5,20 21 22 23 24,0.910116,1.6062067409450265e-07,0.910116,1
sub-verse056,7,205463,7,0,0,0.0,0.9999167940131821,8,0.7,0.875,1.0,0.9999167940131821,1.0,0.9112333588026363,18 19 20 21 22 23 24,0.964568515596553,0.9628691893173595,7,7,18 19 20 21 22 23 24,0.911233,3.5880263637988463e-07,0.911233,1
sub-verse075,14,310604,11,9,4,0.2857142857142857,0.9518183821946813,6,1.0,1.0,0.3076923076923077,0.9518183821946813,0.7142857142857143,0.8233307094059692,2 6 7 14 15 16 17 18 19 20 21 22 23 24,0.8618361258824401,0.4875056263344503,14,7,16 17 18 19 20 21 22,0.931023,0.10769229059403085,0.931023,1
sub-verse134,8,267224,8,0,1,0.125,0.963158871566444,6,0.8,1.0,1.0,0.963158871566444,0.875,0.9501317743132888,17 18 19 20 21 22 23 24,0.9780358703684947,0.734344912588913,8,6,19 20 21 22 23 24,0.950132,2.2568671120826167e-07,0.950132,1
sub-verse406_split-verse214,11,75205,9,1,2,0.18181818181818182,0.9545454545454546,3,1.0,1.0,0.9,0.9545454545454546,0.8181818181818181,0.9527272727272728,1 2 3 4 5 6 7 8 9 11 12,0.9626408696519397,0.7874234650293238,11,9,1 2 3 4 5 6 7 8 9,0.952727,2.72727272765394e-07,0.952727,1
sub-verse152,8,314783,8,0,0,0.0,0.9269005542196397,9,0.8,1.0,1.0,0.9269005542196397,1.0,0.9553801108439278,17 18 19 20 21 22 23 24,0.9733245226585052,0.7319319151567476,8,6,19 20 21 22 23 24,0.95538,1.1084392781413044e-07,0.95538,1
sub-verse407_split-verse215,8,49421,8,0,1,0.125,1.0,1,0.8,1.0,1.0,1.0,0.875,0.9574999999999999,1 2 3 4 5 6 7 8,0.9654646366309704,0.8441137187122685,8,7,1 2 3 4 5 6 7,0.9575,1.1102230246251565e-16,0.9575,1
