case_id,num_labels,total_foreground_voxels,longest_run,gap_count,tiny_labels,tiny_fraction,mean_largest_cc_ratio,max_components_per_label,coverage_score,run_score,continuity_score,component_score,size_score,final_score,labels,mask_path
sub-verse104,17,648149,17,0,0,0.0,0.999951,4,1.0,1.0,1.0,0.999951,1.0,0.99999,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse104.nii.gz
sub-verse122,18,664458,18,0,0,0.0,0.999937,6,1.0,1.0,1.0,0.999937,1.0,0.999987,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse122.nii.gz
sub-verse033,18,279480,18,0,0,0.0,0.999879,3,1.0,1.0,1.0,0.999879,1.0,0.999976,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse033.nii.gz
sub-verse406_split-verse261,19,391931,19,0,0,0.0,0.999737,8,1.0,1.0,1.0,0.999737,1.0,0.999947,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,pseudo_masks/sub-verse406_split-verse261.nii.gz
sub-verse051,10,375453,10,0,0,0.0,0.998182,4,1.0,1.0,1.0,0.998182,1.0,0.999636,15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse051.nii.gz
sub-verse401_split-verse253,17,611026,17,0,0,0.0,0.997979,15,1.0,1.0,1.0,0.997979,1.0,0.999596,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse401_split-verse253.nii.gz
sub-verse415_split-verse275,20,423450,20,0,0,0.0,0.997172,10,1.0,1.0,1.0,0.997172,1.0,0.999434,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse415_split-verse275.nii.gz
sub-verse091,18,655288,18,0,0,0.0,0.996548,19,1.0,1.0,1.0,0.996548,1.0,0.99931,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse091.nii.gz
sub-verse402_split-verse251,20,467525,20,0,0,0.0,0.981042,20,1.0,1.0,1.0,0.981042,1.0,0.996208,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse402_split-verse251.nii.gz
sub-verse112,18,497805,18,0,0,0.0,0.975076,8,1.0,1.0,1.0,0.975076,1.0,0.995015,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse112.nii.gz
sub-verse096,19,571919,19,0,1,0.052632,0.99967,4,1.0,1.0,1.0,0.99967,0.947368,0.994671,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse096.nii.gz
sub-verse141,19,260691,19,0,1,0.052632,0.999266,2,1.0,1.0,1.0,0.999266,0.947368,0.99459,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse141.nii.gz
sub-verse254,20,371418,20,0,1,0.05,0.996455,5,1.0,1.0,1.0,0.996455,0.95,0.994291,5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse254.nii.gz
sub-verse413_split-verse272,18,504450,18,0,0,0.0,0.967109,17,1.0,1.0,1.0,0.967109,1.0,0.993422,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse413_split-verse272.nii.gz
sub-verse009,18,281570,18,0,0,0.0,0.963203,9,1.0,1.0,1.0,0.963203,1.0,0.992641,7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse009.nii.gz
sub-verse127,19,605264,19,0,1,0.052632,0.978218,22,1.0,1.0,1.0,0.978218,0.947368,0.99038,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse127.nii.gz
sub-verse257,10,205665,10,0,1,0.1,0.999931,3,1.0,1.0,1.0,0.999931,0.9,0.989986,15 16 17 18 19 20 21 22 23 24,pseudo_masks/sub-verse257.nii.gz
