dataset_key,dataset_name,fold,case_id,fold_role,label_source,paired_reference
D119,Dataset119_VerSe19,0,sub-verse004,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse005,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse006,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse007,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse008,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse009,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse014,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse015,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse031,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse033,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse034,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse036,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse043,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse046,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse048,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse051,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse056,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse060,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse061,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse063,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse064,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse065,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse068,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse072,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse074,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse075,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse076,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse082,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse088,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse091,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse096,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse097,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse100,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse102,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse104,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse105,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse107,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse111,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse112,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse113,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse122,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse127,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse133,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse134,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse135,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse137,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse139,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse141,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse145,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse146,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse151,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse152,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse207,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse254,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse257,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse401_split-verse201,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse401_split-verse253,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse402_split-verse202,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse402_split-verse251,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse403_split-verse208,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse403_split-verse255,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse405_split-verse212,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse405_split-verse258,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse405_split-verse259,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse406_split-verse214,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse406_split-verse261,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse407_split-verse215,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse407_split-verse262,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse408_split-verse223,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse408_split-verse265,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse409_split-verse226,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse409_split-verse266,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse410_split-verse227,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse410_split-verse267,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse411_split-verse232,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse411_split-verse270,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse413_split-verse239,validation,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse413_split-verse272,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse415_split-verse243,train,ground_truth,
D119,Dataset119_VerSe19,0,sub-verse415_split-verse275,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse004,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse005,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse006,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse007,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse008,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse009,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse014,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse015,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse031,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse033,validation,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse034,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse036,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse043,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse046,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse048,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse051,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse056,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse060,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse061,validation,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse063,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse064,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse065,validation,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse068,validation,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse072,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse074,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse075,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse076,validation,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse082,train,ground_truth,
D119,Dataset119_VerSe19,1,sub-verse088,train,ground_truth,
