case_id,role,source_directory
sub-verse010,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse011,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse013,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse016,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse018,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse022,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse023,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse024,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse026,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse030,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse041,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse047,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse058,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse067,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse071,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse073,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse078,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse080,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse093,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse095,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse116,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse124,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse125,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse150,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse153,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse205,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse221,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse225,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse230,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse242,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse252,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse264,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse269,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse276,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse400_split-verse090,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse400_split-verse155,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse404_split-verse209,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse404_split-verse256,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse412_split-verse235,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
sub-verse412_split-verse290,fixed_external_test,<PROJECT_ROOT>/nnunet_data/Dataset129_VerSe19Pseudo70_seed42/imagesTs
